training_stage,scratch_vs_random_win_rate,transfer_vs_random_win_rate,transfer_vs_scratch_win_rate,scratch_policy_loss,scratch_value_loss,scratch_total_loss,transfer_policy_loss,transfer_value_loss,transfer_total_loss
0,0.95,0.95,0.4,,,,,,
5,0.95,0.95,0.7,1.9901550632256728,0.1331095217512204,2.1232645869255067,1.6225567258321323,0.1440760630533847,1.7666327934998733
10,0.85,0.95,0.35,1.3801237781047822,0.13424645622074605,1.514370234966278,1.268153332710266,0.14577869479358196,1.413932028055191
15,0.95,1.0,0.7,1.2346189001401267,0.13618999967972437,1.370808897972107,1.1498256429036458,0.13731172986825307,1.2871373739242553
20,1.0,0.8,0.3,1.1622944343208086,0.13876821964536562,1.3010626542686237,1.123359090907901,0.14310159131738484,1.2664606815459682
